Gene ID	Gene-level statistic	Sign (FC direction)	In gene-sets
ALG1L2	0.548297887418859	1	10
ALG2	0.688285815346399	-1	19
ALG3	2.1329488663288e-07	1	18
ALG5	0.0574401314162513	1	17
ALG6	0.108607109192256	1	15
ALG8	1.24419743929209e-07	1	19
ALG9	0.0906417941582791	1	16
AMBN	0.00743797802563201	-1	5
AMFR	0.725692735285576	-1	51
ANGEL1	0.831266958470003	1	6
ANK1	0.649351901915872	1	27
ANK3	0.000415131302443514	-1	56
ANKLE2	3.54778746568734e-06	1	12
ANKRD13C	0.0333284208808582	-1	14
ANKS4B	0.760650446034296	1	5
ANO5	0.001593037231947	-1	3
ANO7	0.179717233525746	1	4
ANO8	0.897001130968544	-1	4
ANP32A	3.8029447760115e-05	-1	7
ANTXR2	0.40150949126009	-1	8
ANXA7	0.0104841665168904	-1	17
AOC3	0.771975289021658	-1	4
APEX1	2.87572749142658e-05	-1	13
APH1A	3.99396137307902e-08	1	30
APH1B	0.708991210999735	1	11
APLP2	0.147793591981891	-1	17
APMAP	0.937258616166635	1	1
APOA1	0.585895528224132	1	67
APOC1	0.810418233069158	-1	28
APOD	0.810078845034821	1	32
APOE	3.63812213135931e-07	-1	107
APOL1	0.647145337780791	1	10
APOL2	0.752933746900667	-1	5
APOO	0.923807946579014	-1	9
APP	2.99467503805871e-07	-1	97
AQP11	1.19767268312343e-09	1	11
ARCN1	0.23428509255485	-1	28
AREG	0.514593306710682	1	42
ARHGAP32	0.69049015424425	1	38
ARHGAP5	0.695032825422513	-1	22
ARL6IP1	1.13688345241199e-08	1	30
ARL6IP5	0.566104129013763	-1	25
ARMC10	2.29906695524203e-09	1	3
ARSA	9.78341563291736e-05	1	23
ARSB	0.059971366798907	1	32
ARSD	0.191450114726619	-1	4
ARSE	0.745111097495272	1	7
ARSG	0.543077433036934	1	4
ARSJ	0.489553349372083	-1	3
ARSK	0.000189996744497988	-1	3
ARV1	0.477944786063298	1	18
ASB11	0.334841972101087	-1	11
ASPH	0.0675980083840682	-1	18
ASS1	8.00050582457548e-40	-1	9
ATF6	0.35408309745329	-1	26
ATF6B	0.00869092227819574	1	22
ATG101	0.0872215312783345	-1	13
ATG13	0.000279825366368786	1	47
ATG14	0.240831657384955	1	45
ATG9A	0.00570146584261656	1	23
ATL1	0.59738206820481	1	22
ATL2	0.00795167048400627	-1	11
ATL3	0.0237818448279345	1	13
ATP10B	0.0162109965709827	1	8
ATP10D	0.589522453623901	-1	6
ATP11A	0.634235133565614	1	31
ATP11B	0.0650694906357481	1	32
ATP11C	0.0272426881224661	-1	17
ATP13A1	0.000144533167721221	1	6
ATP1A1	0.254928556280488	-1	25
ATP1A3	4.21225654602237e-28	-1	15
ATP2A1	0.293093957861677	1	15
ATP2A2	0.741285220560628	1	50
ATP2A3	0.00142761700454702	-1	6
ATP6AP1	0.000623205016692789	1	33
ATP7A	0.314168794980186	-1	66
ATP8A1	0.00217442654115159	-1	32
ATP8B1	0.0181479007492238	-1	11
ATP8B2	0.00710221007696322	-1	9
ATP8B3	0.469260519450588	-1	15
ATXN3	0.0630911178609017	1	44
AUP1	3.19859308260952e-05	1	31
B2M	0.108940232151163	1	68
B3GALNT2	0.538247778522344	1	18
B3GALT1	4.10508003868415e-05	-1	27
B3GALT4	0.434158771709224	1	22
B3GALT5	0.79369829460839	-1	18
B3GALT6	0.0262274805777578	1	20
B3GAT1	1.68406983369626e-05	-1	18
B3GLCT	0.187016965793289	1	14
B3GNT10	0.414881550263933	1	16
B3GNT2	0.336645485321857	-1	20
B3GNT3	0.792098801825906	1	19
B3GNT4	0.173934736421032	-1	18
B3GNT5	1.06589912151136e-07	1	24
B3GNT6	0.334841972101087	-1	19
B3GNT7	0.000562389110144904	1	18
B3GNT8	0.040186846988448	1	18
B3GNT9	0.757551734647152	1	16
BACE1	5.16228508146366e-08	1	70
BACE2	0.64659284798618	-1	21
BAK1	0.00919701200891661	1	73
BAX	7.35417097686805e-08	1	115
BCAP29	7.84227275609053e-09	1	11
BCAP31	0.00781648408108811	1	98
BCHE	0.000410814991141016	1	5
BCL2	0.155656231212111	-1	122
BCL2L1	0.371959489706876	1	59
BDKRB1	0.539708447119989	1	8
BECN1	0.85243855274733	-1	80
BET1	0.00340818701441087	1	36
BFAR	0.755153644696066	1	33
BGLAP	0.963704061334627	-1	19
BMP4	0.0569405090126303	-1	27
BNIP1	0.2471415239817	-1	16
BNIP3	2.95769038706919e-06	-1	47
BNIP3L	0.551027399910096	1	42
BRINP2	0.479342219109602	-1	5
BRINP3	0.945810045676463	1	5
BRSK2	4.55978369953251e-10	1	72
BSCL2	1.76639822194759e-07	1	8
C19orf12	0.084248347745677	1	4
C2CD2L	0.00136529007605566	1	23
C3	0.0208731646024339	-1	43
C3orf52	0.404777328507767	1	3
C4A	0.00424606650693833	1	22
CACNA2D1	6.38512451412097e-05	1	7
CALCRL	0.0022568895800215	1	11
CALHM1	0.981681334498206	1	5
CALR	1.88283493488538e-05	1	79
CALR3	0.97835875236779	-1	7
CALU	9.93428960806994e-13	1	7
CAMK2B	0.00941483551559703	-1	29
CAMK2D	3.09647316479126e-05	-1	34
CAMK2G	0.264004265639536	-1	23
CAMLG	0.000279843591495748	-1	4
CANT1	0.181053391579532	1	30
CANX	0.0100833072887829	-1	48
CAPN2	0.748533135404008	-1	40
CARD19	0.85522313493222	1	5
CASP4	0.000330354035575066	1	18
CASQ1	0.725906496100349	-1	19
CASQ2	0.839084386818903	-1	13
CAST	0.000414048144892174	-1	10
CAT	1.2172699590411e-06	-1	37
CATSPER3	0.699020069256999	1	5
CAV1	0.581558511140475	1	130
CAVIN1	2.21538685209317e-10	-1	4
CBLN3	0.74900928795756	-1	4
CCDC115	0.612881580950813	-1	25
CCDC134	0.417583617374045	1	1
CCDC3	0.000105493898829675	-1	3
CCDC47	0.236712808369168	-1	17
CCDC78	0.583431092088	1	4
CCDC88A	0.695487826105317	-1	32
CCDC88B	0.742399231281877	1	6
CCN1	1.78943287870679e-21	1	21
CCR10	1.50224695682676e-07	-1	2
CD1D	0.733300162833745	-1	17
CD320	0.145840903692213	1	8
CD4	0.556183956547213	-1	33
CD59	3.45739921767458e-05	1	51
CD74	1.54867604679826e-05	-1	72
CDC42	0.50569212947538	1	67
CDH2	0.209451877967425	-1	49
CDIPT	0.273323694891009	1	21
CDK1	0.0258150013768852	-1	44
CDKAL1	0.890247318747353	1	5
CDNF	0.277856881342535	-1	4
CDS1	0.752933746900667	1	11
CDS2	2.58969362453242e-24	1	8
CEMIP	0.76700812816543	1	50
CEPT1	0.561930992825482	-1	11
CERCAM	7.31103949302844e-05	1	3
CERKL	0.517403332081024	1	13
CERS1	0.891256778176027	1	14
CERS2	0.00524166387364968	1	13
CERS4	0.648844456174363	1	9
CERS5	0.0526879867661533	1	9
CERS6	0.784388236760861	-1	9
CES2	0.266227029780095	-1	5
CES3	0.0480571635471398	1	3
CFP	0.155763828382333	1	16
CGRRF1	0.606543597107203	1	1
CHERP	0.782174501507004	1	6
CHGB	1.60860297085563e-05	1	7
CHODL	7.29321656377312e-08	-1	9
CHP1	0.159973047825406	-1	74
CHPT1	0.169884648458154	1	14
CHRDL1	1.87893905350746e-26	-1	4
CIB1	0.296794261447112	1	60
CIDEC	0.640422039416729	-1	3
CISD2	0.0229633600776216	1	9
CKAP4	0.424663834331001	-1	29
CLCC1	0.937312180154347	-1	3
CLCN4	0.27433998182011	1	13
CLEC18A	0.406509999384441	1	4
CLEC18B	0.140862546334741	1	4
CLEC18C	0.955093165503503	-1	4
CLEC2D	0.011176636643688	1	2
CLGN	0.000558533574816835	-1	7
CLN3	0.176879720586989	1	65
CLN5	4.29822869103438e-05	1	27
CLN6	1.04390870786851e-05	1	20
CLN8	0.131245712967784	1	18
CLSTN1	0.876542675794632	1	42
CLSTN2	9.33399394911491e-05	-1	14
CLSTN3	0.968145540623803	-1	16
CLU	4.77680251848672e-09	1	118
CMYA5	0.565806483551369	1	2
CNBP	0.514593306710682	1	3
CNIH1	0.670656883586931	1	33
CNIH2	0.720754699726054	1	66
CNIH3	0.717756096126365	1	44
CNIH4	0.0250860915070898	1	5
CNPY1	0.336839191629631	-1	1
CNPY2	0.612925339039517	1	4
CNPY3	2.73110755061995e-07	1	6
COL11A2	0.0310429131789804	1	3
COL12A1	0.268885048335813	-1	3
COL13A1	1.51267226135607e-05	-1	8
COL14A1	0.00873411793622492	-1	3
COL15A1	0.739663301012392	-1	3
COL16A1	0.386350492602019	-1	6
COL17A1	0.698349400949466	1	5
COL18A1	8.37461085476845e-06	-1	4
COL19A1	0.239190937832259	-1	3
COL1A1	1.08385854888228e-09	-1	15
COL1A2	0.0391386117134595	1	9
COL20A1	0.382855271746141	1	6
COL21A1	0.00175573101479094	-1	3
COL22A1	0.0254202972610659	-1	3
COL23A1	0.736787608957202	1	3
COL24A1	0.0808902981787422	1	3
COL25A1	0.000890459865819266	-1	5
COL26A1	0.118494065004559	1	4
COL27A1	0.27523505342924	1	3
COL28A1	0.43214774539859	1	8
COL2A1	0.000920357134206508	1	9
COL3A1	0.00196527391954803	-1	13
COL4A1	0.000129363579875244	-1	3
COL4A2	0.00341607895522859	-1	3
COL4A3	0.825318453355472	-1	14
COL4A4	0.0594545317699194	-1	3
COL4A5	0.926720299215058	1	4
COL4A6	0.186410017467646	-1	3
COL5A1	5.16167006311667e-06	-1	5
COL5A2	0.35348634569524	-1	3
COL5A3	0.955946560633711	-1	3
COL6A1	0.205276635752571	-1	8
COL6A2	1.19163505792688e-05	-1	4
COL6A3	0.134035522761808	-1	8
COL7A1	0.00346856541878404	1	30
COL8A1	0.236408658380136	-1	3
COL8A2	0.0495093840882746	1	3
COL9A2	0.302597413319764	1	3
COL9A3	2.77439274453819e-05	-1	3
COLGALT1	0.955189646991164	-1	9
COLGALT2	0.179486040523266	-1	8
COPA	0.0269040749743451	-1	30
COPB1	0.111819244323404	1	41
COPB2	0.0047769022568576	-1	28
COPE	0.427509623929567	1	25
COPG1	0.000109936661886263	-1	35
COPG2	0.100249751240312	1	35
COPZ1	0.10498971715798	-1	28
COPZ2	0.942697660696781	1	30
CPEB4	0.857196763375954	1	29
CPED1	0.63724043172395	-1	1
CPQ	0.0866187127753724	-1	5
CPT1C	0.312494767087986	-1	20
CRABP2	1.4516874616923e-24	-1	6
CRAT	0.0139480199063689	-1	9
CREB3	0.000577619744913374	1	27
CREB3L1	0.000385354085641851	-1	26
CREB3L2	0.69049015424425	1	15
CREB3L3	0.981538585645652	1	15
CREB3L4	0.859551242007962	-1	11
CREG2	0.139679378798865	-1	2
CRELD2	1.3406312044196e-09	1	2
CRTAP	3.58506382658316e-10	-1	9
CSF1	0.924504317910576	1	18
CSPG5	0.861210232173018	1	52
CST3	0.0823469544837953	1	36
CTAGE4	0.166518176338017	1	11
CTAGE8	0.746399524128497	-1	11
CTDNEP1	0.377483076255656	-1	14
CTSA	7.41199000747898e-05	1	47
CTSC	0.0186031889309351	-1	63
CTSZ	0.812376368630978	-1	67
CUBN	0.3141427400576	-1	35
CYB561D2	0.0778349955753816	1	5
CYB5A	0.27385647968711	1	4
CYB5R1	0.00424343180289779	1	13
CYB5R2	0.584616812615441	1	5
CYB5R3	0.757289899244987	1	23
CYB5R4	0.00350169668433663	1	8
CYB5RL	0.00610692068863309	1	3
CYBA	1.03313318205134e-06	-1	65
CYBB	0.694478867032933	-1	47
CYBC1	0.000105601935051745	1	4
CYP1A1	0.886551031615255	1	10
CYP1A2	0.29687327036991	1	8
CYP1B1	0.000460920112735095	1	12
CYP26A1	0.000279045132749862	-1	5
CYP26B1	0.0464938643507626	1	8
CYP2C18	0.976181903141568	-1	5
CYP2D6	0.0102506875742102	1	8
CYP2E1	0.817269711967367	1	15
CYP2J2	0.379858350231744	-1	5
CYP2R1	0.000109519699856052	1	6
CYP2S1	3.92236298320889e-05	-1	5
CYP2U1	1.94391294716951e-08	1	5
CYP39A1	0.274989702184786	1	5
CYP3A4	0.293093957861677	1	8
CYP3A43	0.297625837201374	1	3
CYP3A5	3.95119982448098e-08	1	6
CYP46A1	1.44007367801345e-07	1	15
CYP4A11	0.218330673812866	-1	11
CYP4A22	0.0258006135824089	1	5
CYP4F11	0.262949810813462	1	6
CYP4F2	0.876999895555877	1	12
CYP4F22	0.00597239595393328	-1	3
CYP4F3	0.9444865431858	-1	3
CYP4F8	0.71479463077896	1	5
CYP4V2	0.609882884297176	1	5
CYP4X1	1.1937387226694e-12	1	3
CYP51A1	4.5163629751082e-21	1	21
CYP7B1	0.801527733061174	-1	5
CYP8B1	0.0885415177060438	1	5
DAD1	0.761231899556208	1	18
DAG1	0.0686185773612121	1	54
DBI	0.172416512970492	-1	13
DDN	0.635556525368646	1	10
DDOST	0.72385238478599	-1	37
DDRGK1	9.16594744736467e-19	1	47
DDX41	0.495491571254072	-1	5
DEGS1	0.00519480481808347	1	25
DEGS2	0.687003104728116	1	9
DERL1	0.537003991332122	1	53
DERL2	0.000331617985952474	1	71
DERL3	3.87233029316347e-17	1	70
DGAT1	0.882297249423506	-1	28
DGAT2	0.000592478719970392	1	16
DHCR24	3.34434996070069e-31	1	13
DHCR7	7.90904574540413e-08	1	8
DHDDS	0.223584148096892	-1	18
DHRS1	0.970734585930973	-1	1
DHRS3	0.904934990275034	-1	10
DHRS4	0.393551307053412	-1	12
DHRS7B	0.867623572549534	-1	6
DHRS9	0.826398158204408	1	9
DIAPH2	3.11989498867481e-08	-1	7
DIPK1A	0.522468231778747	-1	3
DIPK1B	0.288329011478175	1	3
DIPK1C	0.948455027015768	-1	3
DISP3	0.424245717491068	1	7
DLG1	0.000301796301628496	1	70
DLG4	0.866856378201287	1	65
DMPK	8.19979783592414e-12	1	16
DNAJA1	0.85555896834324	1	62
DNAJB11	6.48327069220622e-22	1	17
DNAJB12	0.620238035977907	-1	26
DNAJB14	0.870783730162892	1	24
DNAJB2	0.0549424335588671	-1	68
DNAJB9	0.0420623416960603	1	31
DNAJC1	0.00482909655490346	-1	26
DNAJC10	0.42718909321943	1	42
DNAJC14	0.588951134184608	-1	3
DNAJC18	0.406783429437511	-1	23
DNAJC25	0.706421953234193	1	4
DNAJC3	0.619169628296202	1	54
DNASE1L1	8.32528242509925e-09	1	16
DNASE1L3	0.963704061334627	-1	10
DNM1L	0.6320374411815	-1	130
DOLK	0.0105476944078471	1	18
DOLPP1	0.103051942678707	1	19
DPAGT1	0.000614713835148696	1	24
DPM1	0.788234377502724	-1	33
DPM2	0.385458479708644	-1	44
DPM3	0.273385988378891	-1	36
DRD1	0.811321476518498	-1	57
DSE	0.0153663940608115	1	10
DST	0.676845296434718	1	24
DTNBP1	3.24821638170186e-07	1	88
DUOX1	0.478615804371667	1	6
DUOX2	0.56889755135986	-1	7
DUOXA1	0.813827533310294	-1	5
DUS2	0.000835778465395163	-1	3
EBI3	0.510215170548265	-1	6
EBP	0.00190419277150215	1	7
EBPL	0.911063585696525	-1	6
ECPAS	0.54044854425399	1	24
EDA	0.0575806569852561	-1	7
EDEM1	0.63494175376248	-1	72
EDEM2	0.814778804609888	1	64
EDEM3	0.0187418150802019	-1	30
EDN1	0.890175908043867	1	42
EEF1B2	0.0198736222565921	-1	2
EEF1D	2.40284828388997e-14	-1	5
EEF1G	1.21618447188598e-14	-1	3
EGFR	0.00900182161527703	-1	92
EHD4	0.0635447786367389	-1	24
EI24	5.51224581520463e-05	1	6
EIF2AK3	0.749327492929594	1	69
EIF5A	0.470675076066909	-1	13
EIF5A2	2.64054937183499e-05	1	7
EIF5AL1	0.972174604349258	-1	7
ELOVL1	1.82171001962951e-12	1	14
ELOVL2	3.16786224690055e-05	1	14
ELOVL4	0.00366354775595812	1	15
ELOVL5	1.30734231090991e-05	1	18
ELOVL6	0.0820817067118533	-1	14
ELOVL7	0.102640715909339	-1	14
EMC1	0.0010257664074519	-1	8
EMC10	5.90614020446463e-08	1	10
EMC2	0.00671716013150454	-1	8
EMC3	0.00941956205464242	1	8
EMC4	0.538265410686336	1	8
EMC6	0.669982982560003	1	13
EMC7	0.995508315237439	-1	7
EMC8	0.0495093840882746	1	6
EMC9	0.38102807524838	1	6
EMD	0.134153698901096	1	27
EMID1	0.943234080865163	-1	2
ENAM	0.755646822261292	-1	4
ENTPD2	2.06375262904232e-05	-1	6
ENTPD5	0.47915039101439	1	18
EOGT	0.43551081027074	1	13
EPHA4	2.36698316024297e-08	-1	65
EPHA5	0.500175033370817	1	26
EPHB1	0.278889357977803	-1	30
EPHX1	0.51170942196893	1	3
EPM2AIP1	2.49112897478879e-27	1	5
ERAP1	0.557227204564044	-1	10
ERAP2	0.00382272469482024	-1	9
ERG28	7.12827590885531e-05	1	7
ERGIC1	0.577308900363506	-1	12
ERGIC2	0.915134633491981	1	18
ERGIC3	0.565330075400063	1	18
ERLEC1	0.217087737175348	1	54
ERLIN1	1.61961097530919e-16	-1	19
ERLIN2	0.0180595628425006	-1	20
ERMARD	0.0133588215450568	1	3
ERMP1	0.646063215891468	-1	4
ERN1	0.0168243436380619	-1	40
ERN2	0.227533664157755	1	21
ERO1A	0.751850242283349	-1	34
ERO1B	8.13960462169373e-11	-1	17
ERP29	0.509460648079541	-1	32
ERP44	0.000348471889504282	1	28
ESD	0.201982171467005	-1	4
ESYT1	5.08595522486838e-05	1	15
ESYT2	0.00023202494734662	1	19
ESYT3	0.00920312044415368	1	16
EVA1A	0.00644134963074227	-1	10
EXT1	0.958203574505996	-1	21
EXT2	0.00149904294361973	1	18
EXTL1	0.674552181332405	1	17
EXTL2	0.800843850399069	1	22
EXTL3	0.755382825404876	1	19
F10	3.15103384279197e-05	-1	12
F12	0.00145555394813789	-1	10
F2	0.298231773118215	1	33
F5	0.0920873307545984	1	32
F8	0.817173982128418	-1	32
FA2H	0.66515806817342	1	16
FAAH	0.100765794910764	1	5
FADS1	3.65898265640307e-12	1	12
FADS2	4.922748958251e-09	1	6
FADS3	3.31635907586497e-09	1	4
FAF1	0.0137390725986865	1	36
FAF2	0.20197113499278	-1	44
FAM172A	0.54111950549405	-1	1
FAM20A	0.517265345269611	-1	7
FAM20C	0.0331309947165704	-1	11
FAXDC2	0.00764394519935102	-1	5
FBN1	0.0004032303815301	-1	9
FBXO2	9.24631327260465e-07	-1	31
FBXO6	0.00153368535640776	-1	25
FBXW7	0.668365987156359	-1	95
FCRLB	0.383717308864825	1	1
FDFT1	0.851296118157621	1	8
FGD5	7.10944647959558e-10	-1	27
FGF23	0.193355819360716	1	18
FGFR3	0.0258150013768852	-1	18
FGFR4	5.02490167856518e-07	-1	15
FIBIN	4.71768719987722e-05	-1	3
FICD	0.896355470383617	-1	21
FIG4	0.0173407548212995	1	26
FIS1	4.82616554044597e-09	1	55
FITM1	0.536226809294633	1	9
FITM2	0.0648682706858806	1	13
FKBP10	4.19940897223753e-06	-1	5
FKBP14	0.950047580550723	-1	10
FKBP1A	8.63448608492856e-12	1	27
FKBP1B	0.469081893032029	-1	35
FKBP2	0.240143271137273	1	5
FKBP7	0.816406782035241	-1	5
FKBP8	0.0108525346351018	-1	10
FKBP9	0.00214237209658897	-1	4
FKRP	0.0111683911728543	1	17
FKTN	0.92115861445463	1	21
FLRT1	0.283123136827223	-1	17
FLRT2	0.000454808509449188	-1	14
FLRT3	6.43164079146471e-06	-1	24
FLT3	0.700620014005032	1	14
FMN2	9.33399394911491e-05	-1	23
FMO3	0.0360466454777413	1	3
FMO4	0.436490133765501	1	3
FMO5	0.728376266830797	1	3
FN1	5.06764765083815e-05	1	40
FNDC4	0.0737895131439521	1	2
FNDC5	0.0413715833305733	1	3
FOLR1	0.0918792416746704	-1	45
FOS	5.89810474308484e-13	1	16
FOXRED2	0.039875040852577	1	14
FSD2	0.615146080896035	1	2
FSTL1	0.0222712273394304	-1	5
FSTL3	0.000110292340727142	1	12
FTCD	0.624889235565583	-1	11
FUCA2	2.52407429086793e-17	1	24
FURIN	0.417978245246273	1	48
FUT10	0.75317784469909	1	20
FYN	1.38735279734016e-07	1	90
FZD9	0.22764369799652	1	38
G6PC	0.150857767643806	1	13
G6PC3	0.0366382501928528	1	6
GABARAP	0.2711185099915	-1	32
GABARAPL1	0.00426662946602654	-1	31
GALNT1	0.153763544727124	1	30
GALNT2	0.132838647542482	-1	32
GANAB	0.591837504513774	1	13
GAS6	0.612838489343654	-1	62
GASK1A	0.164472660242231	-1	3
GBA	5.98054943049547e-14	1	70
GBA2	1.59597496172585e-08	1	21
GBF1	0.00540543475840533	-1	66
GDPD1	0.144614022814864	-1	8
GDPD3	0.102517265663559	1	9
GDPD5	0.145269496656557	1	13
GGCX	0.0691833335674188	1	4
GGT2	0.332066025233796	-1	6
GHDC	0.374663369624402	1	14
GHRL	0.494995869094996	1	47
GIGYF2	0.0335229485112384	-1	14
GIMAP1	0.601954905649652	1	8
GIP	0.317921851148465	-1	26
GJA1	0.0609038208785048	-1	15
GJC1	0.668365987156359	-1	5
GLUL	3.92407083049788e-25	-1	37
GLYATL2	0.523199608967415	1	3
GNAI3	0.902969328322108	1	43
GNAZ	0.700620014005032	1	12
GNPNAT1	0.482811000719373	1	14
GNRH1	0.0429895747061346	1	19
GOLM1	0.199387166271092	-1	6
GOLT1B	0.086934283896394	1	5
GORASP2	0.851707938594374	1	16
GOSR2	0.00186774755736724	1	65
GPAA1	0.171101579125377	-1	41
GPAT3	1.74602660378475e-05	-1	11
GPAT4	0.146023884821747	1	14
GPC2	0.126110846811124	1	13
GPC3	0.0001243327438	-1	34
GPER1	0.184944190006986	1	87
GPR37	0.00570953626582226	1	15
GPR85	0.000459267855243476	1	1
GPSM1	0.815916022937536	-1	25
GPX8	0.2711185099915	-1	5
GRAMD1A	0.977632258608399	1	8
GRAMD1B	0.166920288886782	-1	6
GRAMD1C	0.0102529807492081	-1	5
GRIA1	0.915868047848215	1	69
GRIA2	0.785826278037189	-1	20
GRIK5	0.00695922904388782	-1	71
GRIN1	0.489563727296712	1	51
GRIN2A	3.72908374197643e-22	-1	41
GRINA	0.684958029098112	-1	19
GRIP1	0.00867656639757124	-1	34
GRM6	0.917129675111804	1	18
GRN	0.282460317313822	1	56
GSG1	0.732367635199167	1	3
GSTM2	0.865986672511431	1	12
H6PD	0.0315688574142782	-1	4
HACD1	0.621543299102789	-1	12
HACD2	0.777352852984723	-1	12
HACD3	0.966400387350372	-1	32
HACD4	2.92463232381558e-08	-1	9
HACE1	0.000807517489055122	1	31
HADHB	0.00742625675097686	-1	8
HAP1	0.415357537788879	-1	59
HAX1	0.232106822090279	-1	37
HERPUD1	0.536590676624468	1	69
HGFAC	0.0117192385310144	1	3
HHAT	0.904474721279973	1	7
HK2	0.0108132611147354	-1	31
HM13	0.106627098736852	1	28
HMGCLL1	0.8887904743412	-1	6
HMGCR	0.960470275342316	1	35
HMOX1	0.0158874742214065	-1	63
HMOX2	3.02982913846031e-05	-1	23
HNRNPR	0.9953555015593	-1	20
HPD	0.0600663619775894	-1	7
HPS6	3.34871142137899e-11	-1	21
HRC	0.113957054242916	-1	11
HS1BP3	7.18883824012475e-05	-1	11
HSD11B2	0.220074893600229	-1	8
HSD17B12	0.000972690462252734	1	9
HSD17B2	0.160199687933034	1	5
HSD17B6	0.836397936396755	-1	9
HSD17B7	0.297014248271875	1	5
HSD3B7	0.0985733063789896	1	6
HSP90B1	0.199032905221975	-1	56
HSPA13	0.483794970472365	-1	33
HSPA1A	3.58980871990051e-38	-1	135
HSPA1B	2.7947704477399e-49	-1	107
HSPA5	0.781997896421852	1	112
HSPBP1	0.0218610726389547	-1	34
HTRA2	0.870783730162892	-1	83
HTT	0.16039096512508	-1	64
HYAL2	9.59199836014298e-08	1	55
HYAL3	0.00393265179113357	1	33
HYOU1	3.37857489426538e-11	1	45
ICMT	0.0380679021126349	1	11
IER3IP1	0.281478751806553	1	14
IFI27	0.00248637811613075	1	31
IFIT2	0.0143221315812255	1	5
IFNGR2	0.000951161148776649	1	9
IGFBP3	0.680571528647747	1	11
IGFBP4	0.74628023431979	-1	6
IGFBP5	0.51101095051191	-1	9
IGFBP7	0.23906047142063	1	9
IKBIP	0.963704061334627	-1	4
IL12A	0.94011621830983	1	16
IL12B	0.956781805914388	-1	20
IL15RA	0.00519564113333927	-1	13
IL23A	0.869444641329118	1	13
ILDR2	0.140874588253899	-1	6
INPP5K	0.663447730892376	1	74
INSIG1	0.000447365633939107	1	51
INSIG2	0.497884225544453	-1	12
IRGM	0.897120641023055	-1	59
ITGA5	0.0460732995878019	-1	15
ITGA8	5.38795703490471e-07	-1	15
ITPR1	3.42251623695988e-11	-1	42
ITPR2	0.00500891869064466	-1	24
ITPR3	2.5174621436256e-17	-1	25
JAGN1	0.481208823578343	1	21
JKAMP	0.0347560822331671	1	16
JMJD8	8.6614320058864e-06	-1	6
JPH1	0.000218270417071159	-1	7
JPH2	0.572726378582928	-1	15
JPH3	0.930086036583905	-1	9
JPH4	0.184368903538361	-1	14
JSRP1	0.494910583352945	1	7
KCNA1	0.488964217519301	-1	26
KCNA2	0.221727589193316	1	25
KCNA5	0.626736497321148	-1	18
KCNG3	0.00558980699291699	-1	4
KCNIP3	0.666004155279901	-1	22
KCNJ11	0.264144128725078	1	43
KCNJ2	0.637267926407241	-1	26
KCNK2	0.449761149259232	1	17
KCNQ1	0.115631150315473	-1	20
KCNRG	0.516305030691735	1	4
KCTD17	0.0424246868844049	1	21
KDELR1	0.00915709342068252	1	38
KDELR2	0.0124055762076866	1	24
KDELR3	0.00125618781990518	-1	28
KDR	0.541410381241277	-1	25
KDSR	0.487274707088955	-1	9
KEAP1	0.817157079952958	1	34
KIF1C	0.260458963671354	-1	28
