EPO7_I_6	EPO7_II_6	EPO8_I_6	EPO8_II_6	EPOB9_I_8	EPOB9_II_6	EPOF21_I_6	EPOF21_II_1	EPOF21_II_3	EPOI2_I_6	EPOI2_II_6
#CLASS:  sampleName	EPO7	EPO7	EPO8	EPO8	EPOB9	EPOB9	EPOF21	EPOF21	EPOF21	EPOI2	EPOI2
#CLASS:  protein	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO
#CLASS:  producibility	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer
#CLASS:  cellType	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle
ENSG00000077549	7595	7731	7981	5165	10850	5835	5054	3260	1241	5884	6050
ENSG00000077585	599	633	779	588	1162	691	513	288	120	468	555
ENSG00000077616	149	136	242	179	565	328	256	167	83	269	333
ENSG00000077684	1735	1627	2527	1655	2948	1716	1260	725	314	1333	1471
ENSG00000077713	291	252	476	330	522	313	236	160	70	205	211
ENSG00000077721	2378	2429	3076	2116	4417	2534	2570	1487	647	2033	2217
ENSG00000077782	1448	1242	2310	1505	3995	1851	1475	1099	442	1998	2187
ENSG00000077800	1	0	7	1	3	1	2	0	0	3	0
ENSG00000077935	0	0	0	0	0	0	0	0	0	0	0
ENSG00000077942	4444	4065	7439	4909	9900	5407	4336	2942	1093	4362	4048
ENSG00000077943	40	31	128	88	99	62	24	12	4	35	50
ENSG00000077984	0	1	0	0	0	0	0	0	0	0	0
ENSG00000078018	105	81	615	417	270	189	361	237	97	375	395
ENSG00000078043	1057	1070	1426	1002	1979	1145	1081	652	248	905	1070
ENSG00000078053	467	377	564	369	734	419	319	204	68	399	383
ENSG00000078061	2716	2645	3899	2613	5325	2797	2532	2053	749	2515	2700
ENSG00000078070	1020	946	1399	940	1751	920	1176	696	299	895	966
ENSG00000078081	231	233	406	227	449	261	313	194	96	250	282
ENSG00000078098	1	0	0	0	1	0	0	0	0	0	0
ENSG00000078114	1097	944	1675	1044	1764	1004	835	385	168	1068	1034
ENSG00000078124	1060	948	1406	991	2130	1213	1179	668	303	991	1071
ENSG00000078140	7130	6961	10541	6907	13055	7741	7720	3792	1556	7341	7710
ENSG00000078142	818	706	1142	790	2010	1104	891	455	178	861	959
ENSG00000078177	1181	925	2207	1470	3062	1772	1722	854	347	1594	1513
ENSG00000078237	986	957	1459	990	2351	1206	1235	603	216	1016	1037
ENSG00000078246	1529	1446	1974	1345	2752	1563	1381	979	403	1474	1401
ENSG00000078269	1170	1045	1621	1029	2650	1270	1326	873	365	1398	1334
ENSG00000078295	8	7	7	2	18	3	4	5	0	10	3
ENSG00000078304	5603	5755	7404	4944	9135	5422	4987	3166	1350	4536	5158
ENSG00000078319	418	488	344	255	806	428	340	213	104	330	423
ENSG00000078328	0	0	0	0	1	0	0	0	0	0	0
ENSG00000078369	17457	16050	18687	12405	28279	15124	13844	8595	3408	15368	15567
ENSG00000078399	706	778	829	628	2149	1172	704	514	227	783	869
ENSG00000078401	5	12	6	8	23	9	10	2	2	3	4
ENSG00000078403	1243	1228	1635	1168	2855	1600	1054	658	275	1183	1354
ENSG00000078487	101	86	114	75	179	101	105	62	29	142	149
ENSG00000078549	110	86	619	388	403	241	205	99	44	296	261
ENSG00000078579	6	10	17	17	15	8	13	6	4	24	15
ENSG00000078589	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078596	0	0	1	4	0	0	0	0	0	0	0
ENSG00000078618	7262	7198	8607	5519	11712	6440	7365	4174	1641	6763	7286
ENSG00000078668	3967	4351	5505	3591	7398	3982	4801	2624	1145	3803	4106
ENSG00000078674	3101	2601	4784	3143	5855	3309	3157	1753	754	3595	3851
ENSG00000078687	1016	765	941	657	1704	846	537	429	174	759	753
ENSG00000078699	813	787	1005	677	1819	928	669	478	193	717	880
ENSG00000078725	1	0	0	0	0	0	0	0	0	0	0
ENSG00000078747	2482	2227	3890	2512	4502	2430	2369	1285	544	2082	2188
ENSG00000078795	7	12	12	3	17	9	10	4	3	12	10
ENSG00000078804	301	315	368	265	688	332	338	250	92	298	310
ENSG00000078808	4200	3663	4911	3356	7873	4003	3288	2355	930	4240	4294
ENSG00000078814	25	16	12	11	65	43	9	6	3	14	18
ENSG00000078898	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078900	824	734	834	515	1364	761	664	475	177	703	657
ENSG00000078902	1245	1199	1038	676	2466	1247	1128	846	313	1004	956
ENSG00000078967	686	582	810	542	1639	915	905	589	230	723	824
ENSG00000079101	34	23	42	37	55	33	23	10	8	21	37
ENSG00000079102	363	307	400	316	606	370	237	174	77	332	315
ENSG00000079112	2	7	17	4	13	14	6	3	1	11	8
ENSG00000079134	968	1076	1183	820	2207	1201	1034	557	232	1004	1209
ENSG00000079150	360	392	653	458	877	522	469	293	94	350	367
ENSG00000079156	833	801	1241	839	1677	902	707	417	167	741	795
ENSG00000079215	646	683	1185	825	1066	545	468	255	109	625	628
ENSG00000079246	17382	16089	23569	15814	26515	14515	15394	8445	3471	14214	14316
ENSG00000079257	510	594	737	521	936	551	563	401	172	440	489
ENSG00000079263	2	3	3	3	4	1	2	0	0	2	0
ENSG00000079277	1014	1067	1085	706	1739	975	941	669	252	973	1110
ENSG00000079308	216	150	404	277	431	191	176	137	51	208	191
ENSG00000079313	1884	1484	2047	1302	3251	1541	1320	1062	398	1689	1675
ENSG00000079332	4451	4673	6122	3959	7726	4590	4268	2248	926	3663	3881
ENSG00000079335	246	287	425	244	540	275	184	112	47	210	219
ENSG00000079337	106	87	147	113	195	100	73	58	17	101	76
ENSG00000079385	7	4	6	4	10	8	3	5	0	7	1
ENSG00000079387	1576	1511	2344	1547	3270	1753	1607	932	363	1430	1529
ENSG00000079393	14	10	72	45	45	22	16	9	1	29	36
ENSG00000079432	2857	2685	2855	1955	5730	2905	2112	1890	712	2831	2761
ENSG00000079435	240	216	417	277	620	287	232	200	97	340	297
ENSG00000079459	8582	8881	9998	6469	11582	6697	7183	4176	1737	7044	7117
ENSG00000079462	2466	2595	2924	2030	4045	2249	1958	1277	514	1923	1920
ENSG00000079482	404	297	480	302	825	423	296	186	69	268	341
ENSG00000079557	0	1	0	0	1	0	0	0	0	0	0
ENSG00000079616	2600	2497	4059	2598	5945	2986	2354	1647	609	2991	2934
ENSG00000079689	0	0	2	2	1	0	3	3	0	1	0
ENSG00000079691	961	840	1192	861	1596	930	706	396	183	712	724
ENSG00000079739	2837	2754	4330	2868	4489	2395	2462	1522	596	2638	2444
ENSG00000079785	5810	5147	10235	6343	11518	5947	6010	3100	1332	5886	6031
ENSG00000079805	4767	4138	6044	3866	8627	4211	3860	2762	1068	4480	4370
ENSG00000079819	5458	5255	6620	4336	10558	5897	4494	2900	1289	4506	5613
ENSG00000079841	20	22	45	26	66	31	42	25	12	46	49
ENSG00000079931	1067	889	1864	1197	1972	1139	869	504	207	822	892
ENSG00000079950	2927	3061	3043	1951	5517	3171	2817	1421	618	2347	2653
ENSG00000079974	763	750	1016	692	1917	1032	869	672	294	917	947
ENSG00000079999	2644	2379	3807	2441	4932	2372	2588	1625	690	2577	2613
ENSG00000080007	1	1	0	3	1	0	0	0	0	0	0
ENSG00000080031	90	117	201	122	198	111	91	50	18	85	86
ENSG00000080166	4	4	27	12	34	8	3	3	1	10	9
ENSG00000080189	1910	1873	2169	1356	4096	2044	1946	1281	533	1924	1935
ENSG00000080200	883	624	1377	877	2058	1186	756	471	189	819	850
ENSG00000080224	379	348	808	507	884	488	436	235	94	436	449
ENSG00000080293	1	1	2	3	1	2	1	0	0	0	2
ENSG00000080298	389	283	332	183	543	297	188	111	66	219	280
ENSG00000080345	4184	3195	5731	3788	7023	4001	3231	1775	749	3361	3594
ENSG00000080371	1947	1905	3014	2003	3525	1986	2221	1045	471	1941	1981
ENSG00000080493	335	230	659	390	700	396	446	206	89	404	350
ENSG00000080503	1596	1420	1717	1221	2284	1233	1130	670	257	1199	1408
ENSG00000080511	0	0	0	0	2	1	0	0	0	1	0
ENSG00000080546	2447	2508	2870	1779	4570	2673	2621	1393	590	2290	2374
ENSG00000080561	621	545	1037	615	1178	721	717	386	152	654	596
ENSG00000080572	2	5	6	5	17	9	3	1	2	12	4
ENSG00000080573	27	20	76	33	53	25	26	38	11	42	43
ENSG00000080603	5310	4500	9413	6211	12989	6653	6234	4901	1883	6882	6295
ENSG00000080608	1323	1220	1401	931	1695	854	844	481	184	859	975
ENSG00000080618	0	0	2	0	0	0	1	1	0	0	0
ENSG00000080644	106	89	406	249	420	213	153	152	48	202	183
ENSG00000080709	29	25	127	71	65	40	29	10	9	49	46
ENSG00000080802	1263	1222	1422	1076	2453	1439	936	620	261	863	990
ENSG00000080815	1728	1369	2587	1832	3537	1981	2100	1356	579	1792	1823
ENSG00000080819	2477	2057	4075	2507	4524	2355	2451	1162	448	2477	2624
ENSG00000080822	5508	6610	7036	4566	10753	6682	6957	4229	1705	5287	5995
ENSG00000080823	417	456	541	400	1080	543	376	341	129	504	676
ENSG00000080824	71674	68776	125228	83602	114493	63576	72378	39742	16661	80157	81687
ENSG00000080839	1282	1041	1628	1187	2320	1375	1066	616	251	1173	1146
ENSG00000080845	1553	1623	2335	1603	3248	1858	1543	1306	458	1590	1693
ENSG00000080854	275	160	512	370	777	400	249	213	81	396	307
ENSG00000080910	0	0	0	0	0	0	0	0	0	0	0
ENSG00000080947	231	268	103	81	707	407	165	131	46	370	345
ENSG00000080986	1044	1058	1256	808	1571	889	879	492	207	872	952
ENSG00000081014	675	554	1037	614	1307	715	720	340	140	678	655
ENSG00000081019	890	862	1330	851	1716	943	743	413	170	681	781
ENSG00000081026	1344	1227	1995	1392	2612	1517	1245	735	310	1332	1343
ENSG00000081041	14	10	12	10	17	9	7	6	2	20	9
ENSG00000081051	3	2	2	1	6	2	4	3	2	2	2
ENSG00000081052	131	76	310	195	454	251	162	79	27	314	211
ENSG00000081059	1535	1440	1963	1368	1947	1038	1123	830	343	1299	1273
ENSG00000081087	1857	2025	1864	1200	5039	2909	3283	1623	637	2266	2292
ENSG00000081138	196	163	492	384	473	245	277	165	71	235	195
ENSG00000081148	12	21	11	5	47	14	13	6	3	19	25
ENSG00000081154	9038	9684	12920	8514	15277	9390	8549	4574	2018	6987	8076
ENSG00000081177	1376	1266	2212	1433	2560	1353	1321	843	356	1407	1370
ENSG00000081181	1437	1604	2010	1435	2351	1286	1249	790	293	1221	1338
ENSG00000081189	947	829	1555	942	1228	712	799	413	166	828	857
ENSG00000081237	3	0	2	1	8	3	3	2	0	5	7
ENSG00000081248	0	6	8	2	8	3	2	6	0	19	4
ENSG00000081277	2	0	2	0	0	0	0	0	0	2	0
ENSG00000081307	2675	2657	4299	2692	6295	3312	3199	1725	702	3063	3139
ENSG00000081320	1015	930	1185	753	1653	958	961	505	209	817	799
ENSG00000081377	1680	1393	2366	1559	2678	1540	1650	889	339	1495	1568
ENSG00000081386	842	844	877	602	1335	694	534	361	135	563	649
ENSG00000081479	453	347	965	629	1501	800	351	235	89	745	676
ENSG00000081665	49	52	68	58	80	47	93	74	38	95	84
ENSG00000081692	2553	2388	3566	2255	5021	2408	2338	1379	564	2255	2209
ENSG00000081721	603	669	1235	857	1479	823	830	496	211	783	904
ENSG00000081760	1341	1312	1564	977	2193	1207	1089	719	308	1176	1170
ENSG00000081791	2299	2224	3115	2129	3894	1972	2212	1553	649	2721	2843
ENSG00000081800	0	0	2	0	0	0	1	1	0	0	0
ENSG00000081803	915	767	997	631	1572	1012	787	403	148	868	891
ENSG00000081818	3	8	9	12	16	16	6	8	2	18	7
ENSG00000081842	4	0	2	0	2	0	2	0	0	0	2
ENSG00000081853	4	2	5	1	12	4	4	6	2	5	5
ENSG00000081870	1869	2104	1591	1123	3219	1846	2063	1154	511	1560	1742
ENSG00000081913	883	748	1287	794	1584	752	647	377	146	716	645
ENSG00000081923	124	96	309	189	266	137	109	96	35	95	106
ENSG00000081985	31	31	2	0	88	68	39	27	10	13	8
ENSG00000082014	2068	2183	2028	1292	4093	2080	1538	1133	440	1796	2010
ENSG00000082068	2124	1935	3269	2129	3207	1686	2191	1322	505	2216	2353
ENSG00000082074	0	1	1	0	0	0	0	0	2	0	0
ENSG00000082126	2	2	1	4	6	2	3	1	0	1	5
ENSG00000082146	2019	2142	3521	2412	5294	2910	2997	1956	807	2317	2781
ENSG00000082153	11874	12061	17013	10708	22480	12632	15127	7454	3213	10828	11797
ENSG00000082175	0	5	18	5	0	0	4	3	1	3	5
ENSG00000082196	51	54	72	42	99	55	43	29	8	75	71
ENSG00000082212	2212	2130	3771	2448	4140	2427	2279	1424	552	1982	2196
ENSG00000082213	2440	2472	4019	2568	3887	2271	2859	1645	688	2446	2754
ENSG00000082258	1578	1428	1913	1275	3930	2161	1586	890	429	1662	1839
ENSG00000082269	1331	1320	1778	1072	2988	1740	1503	856	356	1237	1453
ENSG00000082293	84	76	99	63	166	83	60	25	8	88	79
ENSG00000082397	2616	2586	4364	3072	5117	2951	2333	1504	590	2384	2521
ENSG00000082438	697	560	1259	903	1612	923	738	531	208	755	783
ENSG00000082458	6694	5864	8964	5919	14185	7492	6614	3580	1501	4644	4759
ENSG00000082482	132	123	408	234	486	309	300	177	78	216	238
ENSG00000082497	372	315	529	367	768	422	340	202	76	351	314
ENSG00000082512	479	499	460	305	1344	767	412	253	114	463	509
ENSG00000082515	2357	2762	3512	2179	2661	1701	1910	1048	467	1764	1946
ENSG00000082516	2038	1786	3361	2238	3284	1610	1871	1096	448	2270	2213
ENSG00000082556	4	2	29	17	9	0	9	0	0	19	11
ENSG00000082641	5568	4513	9145	5891	11465	5849	5499	3760	1533	6183	6225
ENSG00000082684	97	61	196	116	449	245	124	126	37	164	175
ENSG00000082701	2561	2111	3393	2296	4764	2647	2902	1563	659	2323	2429
ENSG00000082781	1865	1414	2753	1770	3707	1848	1554	1024	406	1567	1615
ENSG00000082805	1572	1236	2195	1451	3145	1836	1478	1023	432	1401	1690
ENSG00000082898	13771	13160	17711	11672	24752	14037	12270	6727	2868	13212	13834
ENSG00000082996	1691	1593	2980	1884	3553	2126	2076	1329	513	1734	1858
ENSG00000083067	6	11	14	2	24	8	4	9	4	5	10
ENSG00000083093	575	576	1168	724	1796	985	864	539	219	841	863
ENSG00000083097	1150	904	1303	886	2906	1675	1264	801	326	1296	1339
ENSG00000083099	3079	3372	3357	2089	5440	3098	2996	1718	706	2420	2668
ENSG00000083123	981	993	1328	788	2064	1189	980	582	226	1127	1161
ENSG00000083168	1725	1333	2638	1719	3166	1747	1656	990	453	1923	1912
ENSG00000083223	1025	915	977	652	1154	676	501	255	115	588	654
ENSG00000083290	1463	1391	2261	1483	3574	2098	1856	1118	448	1668	1741
ENSG00000083307	1	1	2	2	2	0	0	0	1	2	3
ENSG00000083312	8449	7403	11146	7146	16258	9380	7738	3832	1615	7507	7958
ENSG00000083444	3052	2541	4101	2601	5572	2882	2229	1569	619	3419	3297
ENSG00000083454	281	284	397	260	727	378	194	159	58	273	229
ENSG00000083457	1271	1974	2897	1751	2931	1514	1422	751	275	982	1263
ENSG00000083520	6187	5812	9269	6252	11196	6356	6189	3362	1374	5791	6233
ENSG00000083535	1586	1496	1978	1423	2248	1389	1329	688	297	1222	1491
ENSG00000083544	457	489	753	489	837	492	438	246	101	381	448
ENSG00000083635	506	465	804	584	1060	561	514	267	97	501	503
ENSG00000083642	1147	1056	1746	1095	2228	1280	1212	665	274	1084	1138
ENSG00000083720	2314	2130	2625	1631	2585	1320	2568	1277	525	1226	1309
ENSG00000083750	383	424	854	473	1096	662	563	345	152	567	661
ENSG00000083782	0	0	0	0	0	1	0	0	0	0	0
ENSG00000083799	1045	950	1845	1175	2628	1403	1631	828	376	1278	1357
ENSG00000083807	437	591	673	324	932	513	315	190	88	386	487
ENSG00000083812	684	662	806	514	1468	662	475	355	120	606	611
ENSG00000083814	55	58	58	33	129	43	76	39	13	62	52
ENSG00000083817	289	306	426	252	607	315	313	173	77	277	302
ENSG00000083828	353	389	545	359	876	479	457	252	102	467	458
ENSG00000083838	415	399	521	337	951	467	423	371	141	516	477
ENSG00000083844	950	908	967	593	1655	918	632	387	169	686	762
ENSG00000083845	40135	62498	74396	47604	77664	43741	39274	26145	10415	36182	39763
ENSG00000083857	3248	1905	5593	3711	6701	3823	3516	2320	961	3753	3560
ENSG00000083896	1506	1524	2356	1615	3014	1625	1576	914	394	1563	1669
ENSG00000083937	3463	3696	5141	3496	5735	3470	3913	2093	794	3107	3334
ENSG00000084070	2409	2202	2940	1886	3248	1796	2047	1388	540	2108	2067
ENSG00000084072	2559	2719	2814	1829	3572	1918	1938	1128	437	1996	2140
ENSG00000084073	3290	2975	5465	3679	6533	3683	5647	2954	1219	4272	4180
ENSG00000084090	9253	8413	12527	8108	17208	9251	9159	5060	1919	9001	8943
ENSG00000084092	1299	1209	2091	1325	2155	1246	1082	719	290	1208	1239
ENSG00000084093	1391	1020	1707	1062	2449	1236	1178	535	241	1025	1075
ENSG00000084110	12	5	2	4	20	12	6	9	4	5	10
ENSG00000084112	1596	1264	1940	1292	3066	1600	1266	888	361	1256	1294
ENSG00000084207	18516	19135	25666	17220	29419	15798	15496	11703	4396	14976	15310
ENSG00000084234	11345	9538	22378	15121	26922	14273	14365	8873	3473	14970	14306
ENSG00000084444	1697	1349	3248	1969	3547	2084	1741	994	340	1963	1877
ENSG00000084453	29	21	37	26	29	16	20	18	7	24	11
ENSG00000084463	6998	6891	10548	7085	11902	6694	6282	3939	1528	6221	6748
ENSG00000084623	13591	14920	15508	9805	21341	11405	13782	8417	3394	11302	11963
ENSG00000084628	324	293	480	292	836	427	347	249	124	367	373
ENSG00000084636	4	17	27	22	26	21	10	10	2	12	25
ENSG00000084652	4449	4110	3724	2458	7341	3697	3859	2504	961	4065	4079
ENSG00000084674	0	1	0	0	4	0	0	0	0	0	0
ENSG00000084676	1282	1017	1976	1379	2522	1432	1348	816	318	1278	1267
ENSG00000084693	5148	4772	6881	4543	10013	5617	5325	3832	1541	4775	5398
ENSG00000084710	531	470	808	551	1429	751	578	370	140	665	651
ENSG00000084731	1212	961	1684	1097	2041	1119	973	671	253	984	1045
ENSG00000084733	5347	4841	6720	4590	8407	4664	4716	2760	1171	4058	4442
ENSG00000084734	4	4	5	2	3	8	0	2	2	11	4
ENSG00000084754	5862	5700	10607	6951	9192	5078	4904	2932	1185	5642	5619
ENSG00000084764	1051	985	1150	844	1488	850	761	565	199	906	893
ENSG00000084774	4014	3751	5354	3467	9738	4593	3149	2277	847	5184	4960
ENSG00000085063	2966	3073	3534	2237	6228	3215	3285	1990	778	2481	2586
ENSG00000085117	99	86	165	92	227	100	83	68	19	96	117
ENSG00000085185	1740	1397	2708	1774	3554	1796	1230	844	356	1347	1452
ENSG00000085224	2833	2499	4758	3112	6456	3558	2821	1676	682	3064	3333
ENSG00000085231	432	448	587	326	1044	620	417	202	97	344	382
ENSG00000085265	0	5	2	2	8	8	3	0	0	6	2
ENSG00000085274	754	792	1010	693	1589	847	779	450	196	682	739
ENSG00000085276	706	622	1283	902	1600	908	744	443	204	731	747
ENSG00000085365	3501	3351	6129	3709	5550	3430	4260	2315	979	3444	3748
ENSG00000085377	2963	2709	3714	2399	5441	2878	2539	1380	632	2830	2573
ENSG00000085382	1252	1286	1628	1001	3064	1734	1501	811	353	1336	1517
ENSG00000085415	1804	2008	2316	1527	3332	1854	1619	883	359	1512	1671
ENSG00000085433	964	838	1059	681	1631	910	778	447	174	719	765
ENSG00000085449	1944	1838	3398	2370	3937	2220	2392	1357	528	2140	2312
ENSG00000085465	65	80	74	45	158	79	47	30	23	62	92
ENSG00000085491	1345	1276	2239	1466	2342	1363	1516	794	332	1242	1230
ENSG00000085511	1514	1390	1978	1233	3058	1627	1232	715	308	1456	1413
ENSG00000085514	12	20	8	1	36	29	10	8	4	14	27
ENSG00000085552	36	36	81	60	155	53	49	42	23	63	61
ENSG00000085563	616	549	835	547	1576	684	611	302	145	849	788
ENSG00000085644	705	606	1078	700	1374	678	576	461	186	668	580
ENSG00000085662	8049	7948	10391	6545	15703	8132	8205	5132	2022	7798	7668
ENSG00000085719	3406	3015	5043	3231	5670	3247	3554	1881	710	3428	3542
ENSG00000085721	824	663	1743	1135	2009	1000	1093	583	229	1065	1084
ENSG00000085733	5965	5890	7468	5078	13056	6603	5654	3902	1540	6664	6984
ENSG00000085741	279	222	449	295	894	442	301	215	77	374	425
ENSG00000085760	1962	1892	3005	2052	3696	2059	1994	1106	465	2046	2331
ENSG00000085788	1823	1580	2890	1925	3238	1838	1606	1019	414	2021	2306
ENSG00000085831	1729	1643	1963	1299	2516	1416	1609	1057	436	1469	1682
ENSG00000085832	3264	3463	4100	2733	5630	3150	3582	2178	887	3101	3272
ENSG00000085840	1641	1463	1621	1084	2274	1279	1212	758	333	1254	1346
ENSG00000085871	893	978	1358	831	1490	839	959	560	255	827	826
ENSG00000085872	3768	3436	4778	3269	6833	3477	3106	2278	906	3737	3611
ENSG00000085978	403	435	424	264	764	375	295	214	87	340	380
ENSG00000085982	990	990	1658	1139	1885	1045	962	551	219	1206	1351
ENSG00000085998	3505	3307	3801	2436	6982	3537	4034	3008	1116	3736	3859
ENSG00000085999	2421	2345	2163	1398	4250	2098	1835	1098	472	2392	2223
ENSG00000086015	3801	3540	3963	2586	6638	3461	3681	2750	1057	3408	3420
ENSG00000086061	7685	7206	8313	5673	10762	5634	6899	3400	1376	5904	6658
ENSG00000086062	1754	1376	2160	1397	2489	1462	1350	887	364	1322	1315
ENSG00000086065	3787	4583	3918	2380	4418	2486	2697	1429	554	2138	2536
ENSG00000086102	1997	2042	2079	1418	3075	1509	1207	824	309	1402	1455
ENSG00000086159	11	14	16	8	44	38	5	8	4	18	21
ENSG00000086189	1596	1850	2137	1345	3592	2063	1657	901	377	1405	1569
ENSG00000086200	2097	1911	2976	2007	4146	2384	1863	1022	430	1619	1681
ENSG00000086205	2	3	50	20	8	14	2	3	0	23	17
ENSG00000086232	7532	7544	11054	7378	14659	8153	7531	4732	1913	6713	7408
ENSG00000086288	0	0	0	0	1	0	0	0	0	0	0
ENSG00000086289	333	338	721	552	930	526	619	383	155	578	654
ENSG00000086300	1642	1636	2963	2016	3630	2100	2189	1225	510	1542	1948
ENSG00000086475	4491	4616	5619	3669	7898	4475	3726	2442	969	3956	4038
ENSG00000086504	3321	3108	5388	3434	4818	2401	2547	1724	720	2480	2435
ENSG00000086506	314	470	478	343	702	324	235	179	77	299	286
ENSG00000086544	675	634	894	490	1127	612	476	278	103	490	524
ENSG00000086548	0	1	0	1	4	1	2	2	0	2	3
ENSG00000086570	1	0	1	0	2	0	0	0	0	0	0
ENSG00000086589	2396	2297	3622	2519	3508	1913	2369	1520	642	2449	2548
ENSG00000086598	9743	10627	14660	9331	22323	12694	13066	7450	3204	8865	10735
ENSG00000086619	1106	1082	2015	1352	2230	1250	951	565	240	943	972
ENSG00000086666	2983	3651	4467	3090	5935	3488	4181	2186	929	2521	2898
ENSG00000086696	19	17	7	6	41	6	15	8	3	19	24
ENSG00000086712	3979	3910	6464	4366	7909	4363	3838	2235	881	4246	4321
ENSG00000086717	169	203	64	58	181	112	55	30	8	40	64
ENSG00000086730	10	7	12	3	21	14	11	1	3	11	12
ENSG00000086758	13940	9184	20298	13125	22091	12717	10880	7651	2943	13254	12443
ENSG00000086827	1361	1371	1760	1191	2689	1425	1377	839	340	1288	1303
ENSG00000086848	909	883	1351	911	2061	1162	1119	694	254	1133	1223
ENSG00000086967	25	40	61	42	59	33	40	22	11	25	29
ENSG00000086991	13	14	20	19	52	43	46	29	14	24	30
ENSG00000087008	452	408	560	369	760	377	334	224	93	400	382
ENSG00000087053	2620	2646	3471	2260	4814	2732	2772	1586	623	2321	2439
ENSG00000087074	2259	2128	3254	2178	3818	2170	2923	2352	860	2499	2579
ENSG00000087076	101	104	159	110	226	130	61	34	11	109	106
ENSG00000087077	1649	1465	1573	886	3477	1719	1485	994	381	1578	1600
ENSG00000087085	139	132	114	68	284	165	116	130	47	238	228
ENSG00000087086	35287	37117	52713	36932	62982	33054	50657	43115	17169	44678	52711
ENSG00000087087	5157	5205	5377	3512	9528	5122	3989	3053	1190	4899	5336
ENSG00000087088	4041	4572	5315	3370	9720	4923	4866	3071	1232	4925	4928
ENSG00000087095	1073	1051	1459	1053	2277	1312	1199	755	336	1271	1405
ENSG00000087111	4500	4194	6523	4182	8699	4560	4245	2823	1166	4775	4687
ENSG00000087116	235	175	369	233	350	178	135	108	39	274	241
ENSG00000087128	0	0	0	0	0	0	0	0	0	0	0
ENSG00000087152	3148	2719	4260	2725	6138	3042	2474	1683	687	3355	3464
ENSG00000087157	1271	1146	1467	924	2948	1414	959	723	291	1406	1438
ENSG00000087191	4657	4584	6743	4328	8220	4264	4463	2548	1102	5321	5551
ENSG00000087206	1328	1536	1703	1219	1823	1026	1094	567	270	1066	1167
ENSG00000087237	2	1	4	2	6	0	2	3	0	2	3
ENSG00000087245	478	318	1814	1194	1305	684	441	316	135	927	837
ENSG00000087250	0	0	0	0	0	0	0	0	0	0	0
ENSG00000087253	572	548	1626	1055	1640	965	943	579	194	945	944
ENSG00000087258	319	290	1134	754	644	365	522	303	117	590	551
ENSG00000087263	1818	1710	3761	2408	4221	2550	2335	1351	558	2391	2282
ENSG00000087266	1359	1350	1520	930	3571	1686	1152	1016	437	1724	1789
ENSG00000087269	3365	3320	4843	3344	6078	3256	2724	1586	659	3008	3147
ENSG00000087274	4386	3865	6221	4204	8144	4308	4457	2868	1119	4150	4437
ENSG00000087299	1203	1198	1530	945	1766	974	880	454	187	1053	1064
ENSG00000087301	1252	998	2162	1375	2497	1497	1425	768	342	1126	1165
ENSG00000087302	5344	5688	7791	5549	9959	5527	5763	3139	1308	5062	5398
ENSG00000087303	668	481	1657	1101	1794	1023	527	362	125	811	863
ENSG00000087338	1939	2013	2431	1614	3598	2066	1824	1017	378	1473	1645
ENSG00000087365	9168	8986	11246	7474	14990	8161	7188	4835	1801	8060	8097
ENSG00000087448	1629	1349	2019	1382	4080	2030	1953	1129	483	1866	1932
ENSG00000087460	33468	32236	45604	33198	61466	34281	30944	22052	9066	30423	31951
ENSG00000087470	4488	4529	6815	4428	8840	4820	4919	2526	1093	4248	4775
ENSG00000087494	87	61	83	50	150	93	110	43	17	71	72
ENSG00000087495	71	70	130	83	129	64	46	37	11	77	104
ENSG00000087502	2820	3121	3986	2582	5159	3165	3076	1561	684	2186	2370
ENSG00000087510	315	295	431	299	405	236	186	144	74	253	252
ENSG00000087586	2730	2678	3753	2395	3882	2250	1736	1020	408	1899	1980
ENSG00000087589	14	22	28	8	33	14	8	10	0	9	10
ENSG00000087842	1262	1385	2306	1576	1503	897	935	493	249	992	1081
ENSG00000087884	701	674	747	510	1200	681	666	352	124	607	615
ENSG00000087903	394	380	538	383	780	415	305	219	90	404	459
ENSG00000087995	1988	2091	2577	1690	3327	1918	1852	1104	479	1805	1947
ENSG00000088002	109	110	140	61	104	49	42	33	13	40	78
ENSG00000088035	1373	1327	2163	1319	2770	1547	1826	978	385	1382	1552
ENSG00000088038	3445	3262	4631	3257	6446	3396	3008	2320	926	3493	3377
ENSG00000088053	3	2	7	3	14	2	6	2	1	10	10
ENSG00000088179	991	853	1518	981	1850	1102	732	407	160	755	781
ENSG00000088205	5407	5281	8456	5481	10354	5781	5320	2745	1089	5377	5676
ENSG00000088247	16093	13881	22205	15177	28652	15349	14490	10179	3842	16559	16591
ENSG00000088256	2580	1965	3070	1939	4299	2310	2104	1588	586	2134	2087
ENSG00000088280	471	416	460	301	700	362	254	173	66	460	520
ENSG00000088298	775	737	1142	693	1734	887	711	517	203	741	752
